"","fibrillation","stroke","economic","patients","Patients","and","all_keywords"
"Ali A N et al 2015 Cost of acute stroke care.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Anonymous 2017 Ontario HTA.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Barrett-2014-Comparison of 24-hour Holter moni.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Barrett et al. Am J Med 2014.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Barrett_2014_comparisonofholtermonitoring.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Boggon R et al 2012 Resource Utilization and Outcomes.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Brachmann 2016.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Bravo-2012-Cost analysis of an implantable loo.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Burri-2013-Cost-consequence analysis of daily.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Choe_2015_A_Comparison_of_Atrial_Fibrillation_Monitoring_Str.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Ciconte-2017-Atrial fibrillation detection usi.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Conti 2017.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Da-2013-Clinical impact of the implantable loo.pdf",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Damiano 2016-Detection of atrial fibrillation after su.pdf",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Davtyan-2018-Radiofrequency versus Cryoballoon.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"de-2006-Verification of pacemaker automatic mo.pdf",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"De Asmundis-2014-Comparison of the patient-act.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Deshmukh-2016-Performance of Atrial Fibrillati.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Diamantopoulos A et al 2016 Cost effectiveness of an insertable cardiac monitor.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Eysenck et al. ReMAP. J Interv Card Electrophysiol 2019.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Fensli R et al 2010 Towards improved healthcare performance.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"Giada-2007-Recurrent unexplained palpitations.pdf",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Gladstone_Appendix.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Go et al. KP-RHYTHM. JAMA 2018.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"grey1398.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Grond_2013_Improveddetectionofsilentatrialfibrilation.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Gussak I et al 2012 Wireless Remote Monitoring.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Halcox 2017.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hanke 2009.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Hindricks 2010.pdf",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Hobbs_Arandomisedcontrolledtrialandcost-effectivenessstudyofsystema.pdf",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Hoefman-2010-Efficacy of diagnostic tools for.pdf",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
